section_num,rm_location,days,time,instructor_name,instructor_email,gta_name,gta_email
111,LMBS 3261,T/TH,7:30-9:20 AM,Prof. ,email@purdue.edu,,
112,LMBS 3261,T/TH,9:30-11:20 AM,Prof. ,email@purdue.edu,,
114,LMBS 3261,T/TH,1:30-3:20 PM,Prof. ,email@purdue.edu,,
115,LMBS 3261,T/TH,3:30-5:20 PM,Prof. ,email@purdue.edu,,
211,LMBS 3239,T/TH,7:30-9:20 AM,Prof. ,email@purdue.edu,,
212,LMBS 3239,T/TH,9:30-11:20 AM,Prof. ,email@purdue.edu,,
213,LMBS 3239,T/TH,11:30 AM-1:20 PM,Prof. ,email@purdue.edu,,
214,LMBS 3239,T/TH,1:30-3:20 PM,Prof. ,email@purdue.edu,,
215,LMBS 3239,T/TH,3:30-5:20 PM,Prof. ,email@purdue.edu,,
021,LMBS 3285,W/F,7:30-9:20 AM,Prof. ,email@purdue.edu,,
022,LMBS 3285,W/F,9:30-11:20 AM,Prof. ,email@purdue.edu,,
023,LMBS 3285,W/F,11:30 AM-1:20 PM,Prof. ,email@purdue.edu,,
024,LMBS 3285,W/F,1:30-3:20 PM,Prof. ,email@purdue.edu,,
025,LMBS 3285,W/F,3:30-5:20 PM,Prof. ,email@purdue.edu,,
124,LMBS 3261,W/F,1:30-3:20 PM,Prof. ,email@purdue.edu,,
125,LMBS 3261,W/F,3:30-5:20 PM,Prof. ,email@purdue.edu,,
221,LMBS 3239,W/F,7:30-0:20 AM,Prof. ,email@purdue.edu,,
222,LMBS 3239,W/F,9:30-11:20 AM,Prof. ,email@purdue.edu,,
223,LMBS 3239,W/F,11:30 AM-1:20 PM,Prof. ,email@purdue.edu,,
